experiment,file,target,peer_key,lat_band,elev_band,split,fold,peer_coverage,arm,net_benefit,precision_at_25,spearman,n,event_rate,git_sha,dirty,seed,content_hash
E04-band-sweep,E04-within_xy-lat20-elev2000.result.json,within_xy,geo_month,20.0,2000.0,spatial,Kaduna_Grain_Belt,1.0,zero,0.0,0.06040268456375839,0.0,1043,0.06040268456375839,db654a6,False,42,6c832dc27417
E04-band-sweep,E04-within_xy-lat20-elev2000.result.json,within_xy,geo_month,20.0,2000.0,spatial,Kaduna_Grain_Belt,1.0,persistence,-0.10786193672099713,0.16,0.35988682517352705,1043,0.06040268456375839,db654a6,False,42,6c832dc27417
E04-band-sweep,E04-within_xy-lat20-elev2000.result.json,within_xy,geo_month,20.0,2000.0,spatial,Kaduna_Grain_Belt,1.0,climatology,0.0,0.06040268456375839,0.0,1043,0.06040268456375839,db654a6,False,42,6c832dc27417
E04-band-sweep,E04-within_xy-lat20-elev2000.result.json,within_xy,geo_month,20.0,2000.0,spatial,Kaduna_Grain_Belt,1.0,linear,-0.025886864813039305,0.04,0.19866020563769046,1043,0.06040268456375839,db654a6,False,42,6c832dc27417
E04-band-sweep,E04-within_xy-lat20-elev2000.result.json,within_xy,geo_month,20.0,2000.0,spatial,Kaduna_Grain_Belt,1.0,boosted,-0.005752636625119847,0.16,0.17953626677992482,1043,0.06040268456375839,db654a6,False,42,6c832dc27417
E04-band-sweep,E04-within_xy-lat20-elev2000.result.json,within_xy,geo_month,20.0,2000.0,spatial,Kano_Sudan_Savannah,1.0,zero,0.0,0.046937151949085126,0.0,1257,0.046937151949085126,db654a6,False,42,6c832dc27417
E04-band-sweep,E04-within_xy-lat20-elev2000.result.json,within_xy,geo_month,20.0,2000.0,spatial,Kano_Sudan_Savannah,1.0,persistence,-0.1292760540970565,0.24,0.26627553346797816,1257,0.046937151949085126,db654a6,False,42,6c832dc27417
E04-band-sweep,E04-within_xy-lat20-elev2000.result.json,within_xy,geo_month,20.0,2000.0,spatial,Kano_Sudan_Savannah,1.0,climatology,0.0,0.046937151949085126,0.0,1257,0.046937151949085126,db654a6,False,42,6c832dc27417
E04-band-sweep,E04-within_xy-lat20-elev2000.result.json,within_xy,geo_month,20.0,2000.0,spatial,Kano_Sudan_Savannah,1.0,linear,-0.008750994431185362,0.2,0.07647146310675508,1257,0.046937151949085126,db654a6,False,42,6c832dc27417
E04-band-sweep,E04-within_xy-lat20-elev2000.result.json,within_xy,geo_month,20.0,2000.0,spatial,Kano_Sudan_Savannah,1.0,boosted,-0.004176610978520286,0.0,0.26987379882504764,1257,0.046937151949085126,db654a6,False,42,6c832dc27417
E04-band-sweep,E04-within_xy-lat20-elev2000.result.json,within_xy,geo_month,20.0,2000.0,spatial,Kenya_Rift_Valley,0.5483870967741935,zero,0.0,0.4505347593582888,0.0,748,0.4505347593582888,db654a6,False,42,6c832dc27417
E04-band-sweep,E04-within_xy-lat20-elev2000.result.json,within_xy,geo_month,20.0,2000.0,spatial,Kenya_Rift_Valley,0.5483870967741935,persistence,0.17078877005347595,0.76,0.2034228888451717,748,0.4505347593582888,db654a6,False,42,6c832dc27417
E04-band-sweep,E04-within_xy-lat20-elev2000.result.json,within_xy,geo_month,20.0,2000.0,spatial,Kenya_Rift_Valley,0.5483870967741935,climatology,0.0,0.4505347593582888,0.0,748,0.4505347593582888,db654a6,False,42,6c832dc27417
E04-band-sweep,E04-within_xy-lat20-elev2000.result.json,within_xy,geo_month,20.0,2000.0,spatial,Kenya_Rift_Valley,0.5483870967741935,linear,0.1106283422459893,0.68,0.17215500299678685,748,0.4505347593582888,db654a6,False,42,6c832dc27417
E04-band-sweep,E04-within_xy-lat20-elev2000.result.json,within_xy,geo_month,20.0,2000.0,spatial,Kenya_Rift_Valley,0.5483870967741935,boosted,0.06985294117647059,0.48,0.0552420372392951,748,0.4505347593582888,db654a6,False,42,6c832dc27417
E04-band-sweep,E04-level_z-lat10-elev2000.result.json,level_z,geo_month,10.0,2000.0,spatial,Benue_River_Basin,1.0,zero,0.0,0.13427561837455831,0.0,566,0.13427561837455831,db654a6,False,42,6c832dc27417
E04-band-sweep,E04-level_z-lat10-elev2000.result.json,level_z,geo_month,10.0,2000.0,spatial,Benue_River_Basin,1.0,persistence,-0.03798586572438162,0.08,0.15987128587405852,566,0.13427561837455831,db654a6,False,42,6c832dc27417
E04-band-sweep,E04-level_z-lat10-elev2000.result.json,level_z,geo_month,10.0,2000.0,spatial,Benue_River_Basin,1.0,climatology,0.0,0.13427561837455831,0.0,566,0.13427561837455831,db654a6,False,42,6c832dc27417
E04-band-sweep,E04-level_z-lat10-elev2000.result.json,level_z,geo_month,10.0,2000.0,spatial,Benue_River_Basin,1.0,linear,-0.04991166077738517,0.16,0.12569172593327418,566,0.13427561837455831,db654a6,False,42,6c832dc27417
