hhid,intervention_level,predicted_intervention_level,risk_score,yield,land_size,household_size,used_fertilizer,household_max_education,has_extension_access,shock_level,asset_score,transport_cost,received_credit,zone
20092,1,1,0.5,0.5040226685263691,60000.0,9,0,43.0,0,2.0,19.0,0.0,0.0,1
20093,1,1,0.5,1.1136166368273777,10000.0,6,0,41.0,1,2.0,10.0,0.0,0.0,1
20095,1,0,0.0,0.24891864655216372,4046.86,8,0,12.0,0,2.0,11.0,500.0,0.0,1
20096,0,0,0.0,0.18106368138426684,18093.72,6,1,34.0,1,1.0,10.0,0.0,0.0,1
20097,0,1,0.5,0.34749192876271084,0.0,9,0,23.0,1,2.0,9.0,5000.0,0.0,1
20098,0,0,0.0,0.4683828579614664,15000.0,7,1,34.0,0,2.0,7.0,2500.0,0.0,1
20099,0,0,0.0,0.09669870617131143,10000.0,1,1,34.0,0,2.0,5.0,1000.0,0.0,1
20100,1,1,0.5,0.22506117933922373,8093.72,11,0,26.0,1,2.0,21.0,0.0,0.0,1
20101,0,0,0.0,0.7054103506052668,40000.0,4,0,26.0,0,2.0,6.0,0.0,0.0,1
20103,1,1,0.5,0.14413909998533295,4000.0,6,0,26.0,0,2.0,4.0,0.0,0.0,1
20104,1,1,0.5,0.06988428509927365,7200.0,9,0,26.0,1,2.0,22.0,0.0,0.0,1
20106,1,1,0.5,0.3346881614735122,0.0,5,0,41.0,0,2.0,8.0,0.0,0.0,1
20107,2,2,1.0,0.032634945499641015,4046.86,6,0,26.0,0,2.0,10.0,0.0,0.0,1
20108,0,0,0.0,0.07984059543851538,20234.300000000003,7,0,26.0,1,2.0,9.0,0.0,0.0,1
29001,0,0,0.0,0.15124779430299976,20000.0,5,1,32.0,1,2.0,4.0,0.0,0.0,1
29002,0,0,0.0,0.11122095897182402,34000.0,24,1,42.0,1,2.0,49.0,0.0,0.0,1
29003,0,0,0.0,0.18953034380804368,24281.16,6,1,34.0,1,2.0,11.0,0.0,0.0,1
29004,1,1,0.5,0.024098459419915657,5938.55,3,0,32.0,0,2.0,19.0,0.0,0.0,1
29006,1,1,0.5,0.3283349526292043,5000.0,9,1,26.0,0,1.0,5.0,2000.0,0.0,1
29007,1,1,0.5,0.11372858182276219,3100.0,9,1,41.0,0,2.0,6.0,900.0,0.0,1
29008,0,0,0.0,0.16290432226500887,28093.72,8,0,26.0,1,2.0,8.0,0.0,0.0,1
29009,0,0,0.0,0.30072022493872824,2000.0,6,1,34.0,0,0.0,6.0,0.0,0.0,1
29013,0,1,0.5,0.23862931322483655,1000.0,1,0,16.0,0,1.0,2.0,0.0,0.0,1
29018,1,1,0.5,0.25363516546499376,4046.86,2,0,16.0,0,2.0,2.0,0.0,0.0,1
29019,1,1,0.5,0.1280164568346228,18093.72,4,0,26.0,1,2.0,5.0,0.0,0.0,1
29020,1,0,0.0,0.09304048485005124,12140.58,5,0,34.0,0,2.0,29.0,0.0,0.0,1
29021,1,1,0.5,0.10412315684854181,7500.0,4,1,41.0,1,2.0,2.0,0.0,0.0,1
29022,0,0,0.0,0.05477384453776346,5500.0,5,0,32.0,0,2.0,7.0,0.0,0.0,1
29023,0,0,0.0,0.15305110952891143,6500.0,6,0,34.0,0,2.0,12.0,0.0,0.0,1
29024,0,0,0.0,0.07847053903534629,5500.0,1,0,0.0,0,0.0,3.0,0.0,0.0,1
29025,1,0,0.0,0.32097245901326876,30234.300000000003,7,0,34.0,0,2.0,23.0,0.0,0.0,1
29026,0,0,0.0,1.6771019677996422,4046.86,7,1,43.0,1,1.0,17.0,0.0,0.0,1
29028,1,1,0.5,0.12011768619014515,8093.72,4,0,41.0,0,2.0,4.0,0.0,0.0,1
29029,1,1,0.5,0.10885730527244993,24046.86,2,1,43.0,0,2.0,7.0,3000.0,0.0,1
29031,0,1,0.5,0.14468124196215323,4046.86,1,0,16.0,0,0.0,2.0,0.0,0.0,1
29032,0,0,0.0,0.31485282286280586,60000.0,4,1,41.0,1,1.0,21.0,1000.0,0.0,1
29033,0,1,0.5,0.22444118724807624,10000.0,2,0,23.0,0,2.0,5.0,0.0,0.0,1
29034,0,0,0.0,0.553740517193643,20000.0,11,1,41.0,0,2.0,9.0,7000.0,0.0,1
29035,0,0,0.0,0.4201168643371124,40000.0,8,1,51.0,1,2.0,20.0,5000.0,0.0,1
